"Dataleverandør","Datasett","Lisenskode","GeonorgeUrl"
"Artsdatabanken","RL","CC BY 4.0","https://kartkatalog.geonorge.no/metadata/artsdatabanken/artskart-rodlistearter-wfs/a9e500fb-c188-4601-81b4-072c36a60c8c"
"Artsdatabanken","NN-LA","CC BY 4.0",
"Artsdatabanken","AR","CC BY 4.0","https://kartkatalog.geonorge.no/metadata/artsdatabanken/artskart-api/42b59f02-2a61-4d4e-b0bd-358e26094a4f"
"Kartverket","NN-NA-BS-8","NLOD","https://kartkatalog.geonorge.no/metadata/kartverket/hoydereferansemodell-nn2000/71a73064-59a5-4f03-a0b8-fa5c649c3fc9"
"Kartverket","NN-NA-TI-I","CC BY 4.0","https://kartkatalog.geonorge.no/metadata/kartverket/n50-kartdata/ea192681-d039-42ec-b1bc-f3ce04c189ac"
"Kartverket","AO","CC BY 4.0","https://kartkatalog.geonorge.no/metadata/kartverket/administrative-enheter-kommuner/041f1e6e-bdbc-4091-b48f-8a5990f3cc5b"
"Wikidata","AO-TO-FL","CC BY SA 3.0","https://commons.wikimedia.org/wiki/Category:PD_Coa_Norway"
"Wikidata","VV","CC BY SA 3.0","https://no.Wikidata.org/wiki/Verneomr%C3%A5der_i_Norge"
"Miljødirektoratet","NN-NA","NLOD",
"Miljødirektoratet","VV","NLOD","https://kartkatalog.geonorge.no/metadata/miljodirektoratet/naturvernomrader-wfs/ec9972b4-0d3e-4492-bf35-5bca2f7143d1"
"Miljødirektoratet","NN-NA-BS","NLOD",
"NIBIO","NN-NA-TI-I","NLOD","https://kartkatalog.geonorge.no/metadata/norsk-institutt-for-biookonomi/arealressurskart-ar50/4bc2d1e0-f693-4bf2-820d-c11830d849a3"
"NINA","NN-NA-BS-6SE","",""
"NINA","NN-NA-BS-6SO","",""
"NGU","NN-NA-LKM-KA","NLOD","https://kartkatalog.geonorge.no/metadata/norges-geologiske-undersokelse/berggrunn-n250/7c39be66-77b6-4b74-b58d-53b6bee90067"
"NGU","NN-NA-LKM-BK-A","NLOD","https://kartkatalog.geonorge.no/metadata/norges-geologiske-undersokelse/berggrunn-n250/7c39be66-77b6-4b74-b58d-53b6bee90067"
"NGU","NN-NA-LKM-S3-E","NLOD","https://kartkatalog.geonorge.no/metadata/norges-geologiske-undersokelse/bunnsedimenter-kornstorrelse-oversikt/39c357fc-8c56-49e0-a6ba-3e434d62a585"
"NGU","NN-NA-LKM-S3-F","NLOD","https://kartkatalog.geonorge.no/metadata/norges-geologiske-undersokelse/bunnsedimenter-kornstorrelse-oversikt/39c357fc-8c56-49e0-a6ba-3e434d62a585"
"NGU","NN-NA-LKM-S3-S","NLOD","https://kartkatalog.geonorge.no/metadata/norges-geologiske-undersokelse/bunnsedimenter-kornstorrelse-oversikt/39c357fc-8c56-49e0-a6ba-3e434d62a585"
"SSB","AO-TO-FL","CC BY 4.0","https://kartkatalog.geonorge.no/metadata/kartverket/administrative-enheter-kommuner/041f1e6e-bdbc-4091-b48f-8a5990f3cc5b"
